1,2,3,,,,,,,,,,,,,
QQ,"1030001 => ""WebQQ""",,,,,,,,,,,,,,
,"  1270162 => ""腾讯交流平台""",******,,,,,,,,,,,,,
,"  1330001 => ""新浪微博""",///,,,,,,,,,,,,,
,"  1330002 => ""腾讯微博""",///,,,,,,,,,,,,,
,"  1220001 => ""当当网""",,,,,,,,,,,,,,
,"  1220002 => ""天猫""",///,,,,,,,,,,,,,
,"  1220003 => ""凡客""",,,,,,,,,,,,,,
,"  1220005 => ""京东""",///,,,,,,,,,,,,,
,"  1220007 => ""淘宝""",///,,,,,,,,,,,,,
,"  1220011 => ""亚马逊""",,,,,,,,,,,,,,
,"  1220012 => ""唯品会""",,,,,,,,,,,,,,
,"  1220042 => ""蘑菇街""",,,,,,,,,,,,,,
,"  1230005 => ""携程""",,,,,,,,,,,,,,
,"  1230006 => ""艺龙""",///,,,,,,,,,,,,,
,"  1230010 => ""同程""",,,,,,,,,,,,,,
,"  1230014 => ""7天""",///,,,,,,,,,,,,,
,"  1230015 => ""如家""",,,,,,,,,,,,,,
,"  1230016 => ""汉庭""",///,,,,,,,,,,,,,
,"  1230017 => ""驴妈妈""",///,,,,,,,,,,,,,
,"  1240001 => ""EMS""",,,,,,,,,,,,,,
,"  1240003 => ""顺丰""",,,,,,,,,,,,,,
,"  1240007 => ""中通""",,,,,,,,,,,,,,
,"  1240011 => ""德邦物流""",,,,,,,,,,,,,,
,"  1240012 => ""新邦""",,,,,,,,,,,,,,
,"  1260003 => ""国航（中国航空）""",,,,,,,,,,,,,,
,"  1260004 => ""携程""",///,,,,,,,,,,,,,
,"  1260006 => ""艺龙""",///,,,,,,,,,,,,,
,"  1260014 => ""同程""",///,,,,,,,,,,,,,
,"  1260019 => ""东航（东方航空）""",,,,,,,,,,,,,,
,"  1260020 => ""四川汽车票务网""",///,,,,,,,,,,,,,
,"  1260021 => ""四川航空""",///,,,,,,,,,,,,,
,"  1300002 => ""智联招聘""",,,,,,,,,,,,,,
,"  1300003 => ""中华英才网""",///,,,,,,,,,,,,,
,"  1300004 => ""58同城""",///,,,,,,,,,,,,,
,"  1300012 => ""大街网""",///,,,,,,,,,,,,,
,"  1300020 => ""51job（前程无忧）""",,,,,,,,,,,,,,
,"  1300021 => ""赶集网""",,,,,,,,,,,,,,
,"  1300022 => ""成都人才市场""",///,,,,,,,,,,,,,
,"  1300023 => ""四川人才网""",///,,,,,,,,,,,,,
,"  1300024 => ""数字英才网""",///,,,,,,,,,,,,,
,"  1270018 => ""美团网""",,,,,,,,,,,,,,
,"  1270050 => ""西路社区""",******,,,,,,,,,,,,,
,"  1270078 => ""如家快捷""",///,,,,,,,,,,,,,
,"  1270092 => ""中国南方航空""",,,,,,,,,,,,,,
,"  1270104 => ""赶集网""",///,,,,,,,,,,,,,
,"  1339001 => ""朋友网心情""",,,,,,,,,,,,,,
,"  1339002 => ""人人网心情""",///,,,,,,,,,,,,,
,"  1339003 => ""中国人社区心情""",******,,,,,,,,,,,,,
,"  1339999 => ""其他""",,,,,,,,,,,,,,
,"  1070006 => ""百度贴吧""",///,,,,,,,,,,,,,
,"  1070069 => ""麻辣社区""",///,,,,,,,,,,,,,
,"  1070009 => ""天涯论坛""",///,,,,,,,,,,,,,
,"  1070011 => ""猫扑论坛""",///,,,,,,,,,,,,,
,"  1070012 => ""西祠胡同论坛""",///,,,,,,,,,,,,,
,"  1070014 => ""强国论坛""",///,,,,,,,,,,,,,
,"  1070017 => ""华声论坛""",///,,,,,,,,,,,,,
,"  1070029 => ""凯迪论坛""",///,,,,,,,,,,,,,
,"  1070031 => ""环球网论坛""",///,,,,,,,,,,,,,
,"  1070038 => ""铁血""",///,,,,,,,,,,,,,
,"  1070049 => ""爱卡论坛""",///,,,,,,,,,,,,,
,"  1070070 => ""天府论坛""",///,,,,,,,,,,,,,
,"  1070071 => ""第四城""",///,,,,,,,,,,,,,
,"  1070072 => ""最成都""",///,,,,,,,,,,,,,
,"  1070073 => ""成都向上""",///,,,,,,,,,,,,,
,"  1070074 => ""龙门阵社区-全搜索""",///,,,,,,,,,,,,,
,"  1070075 => ""成都吃喝玩乐网""",///,,,,,,,,,,,,,
,"  1070076 => ""眉山人论坛""",///,,,,,,,,,,,,,
,"  1070077 => ""东坡论坛""",///,,,,,,,,,,,,,
,"  1070078 => ""洪雅论坛""",///,,,,,,,,,,,,,
,"  1070079 => ""彭山论坛""",///,,,,,,,,,,,,,
,"  1070080 => ""华蓥城市在线""",///,,,,,,,,,,,,,
,"  1070081 => ""QQ空间说说""",,,,,,,,,,,,,,
,"  1070082 => ""QQ空间日志""",///,,,,,,,,,,,,,
,"  1070083 => ""腾讯爆料台""",///,,,,,,,,,,,,,
,"  1380002 => ""腾讯新闻""",///,,,,,,,,,,,,,
,"  1380003 => ""网易新闻""",///,,,,,,,,,,,,,
,"  1380004 => ""搜狐新闻""",///,,,,,,,,,,,,,
,"  1380006 => ""人民网""",///,,,,,,,,,,,,,
,"  1380007 => ""凤凰网""",///,,,,,,,,,,,,,
,"  1380008 => ""CCTV（央视网）""",,,,,,,,,,,,,,
,"  1380010 => ""新浪新闻""",///,,,,,,,,,,,,,
,"  1380011 => ""今日头条""",///,,,,,,,,,,,,,
,"  1380012 => ""百度新闻""",///,,,,,,,,,,,,,
,"  1380013 => ""南方网""",,,,,,,,,,,,,,
,"  1380014 => ""南方周末""",,,,,,,,,,,,,,
,"  1380015 => ""财新网""",,,,,,,,,,,,,,
,"  1380016 => ""财经网""",,,,,,,,,,,,,,
,"  1380017 => ""搜狐畅言""",///,,,,,,,,,,,,,
,"  1380019 => ""四川在线""",,,,,,,,,,,,,,
,"  1380020 => ""成都全搜索""",,,,,,,,,,,,,,
,"  1380021 => ""优酷视频""",///,,,,,,,,,,,,,
,"  1380022 => ""土豆""",///,,,,,,,,,,,,,
,"  1380023 => ""爱奇艺""",,,,,,,,,,,,,,
,"  910001 => ""国家信访局""",统一为“投诉”,,,,,,,,,,,,,
